 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                          |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| Date  | Time  |    Sequence        | #Img | QPI| QPP| QPB| Format  | #B | Hdmd | S.R |#Ref | Freq |Intra upd|SNRY 1|SNRU 1|SNRV 1|SNRY N|SNRU N|SNRV N|#Bitr P|#Bitr B|     Total Time   |      Me Time     |
| 08/20 | 15:35 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.821|40.894|42.426| 179688|      0|          14414   |           5078   |
| 08/20 | 15:53 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.821|40.894|42.426| 179688|      0|          13895   |           4819   |
| 08/20 | 16:04 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.821|40.894|42.426| 179784|      0|          14176   |           4953   |
| 08/24 | 15:04 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.821|40.894|42.426| 179688|      0|          12930   |           4595   |
| 08/24 | 16:17 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.821|40.894|42.426| 179688|      0|          13685   |           4834   |
| 08/24 | 16:44 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.821|40.894|42.426| 179688|      0|          13298   |           4743   |
| 08/24 | 16:45 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.821|40.894|42.426| 179688|      0|          13180   |           4622   |
| 08/25 | 10:23 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10353   |           2764   |
| 08/25 | 10:28 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          76063   |           2714   |
| 08/25 | 10:40 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10298   |           2798   |
| 08/25 | 10:41 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          13357   |           2819   |
| 08/27 | 09:24 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10606   |           2822   |
| 08/27 | 09:58 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          11106   |           2979   |
| 09/06 | 09:44 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |16.891|9.576|11.208|17.008|9.551|11.242| 879960|      0|          11471   |           2696   |
| 09/06 | 09:46 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|           9931   |           2690   |
| 09/06 | 10:50 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          42094   |           2711   |
| 09/06 | 10:56 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          41966   |           2761   |
| 09/06 | 10:59 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          41680   |           2739   |
| 09/06 | 11:02 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          42100   |           2808   |
| 09/06 | 14:32 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          41850   |           2661   |
| 09/06 | 14:45 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          41559   |           2705   |
| 09/06 | 15:10 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          47665   |           2769   |
| 09/06 | 15:21 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10170   |           2738   |
| 09/06 | 15:30 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10526   |           2792   |
| 09/06 | 15:38 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10401   |           2794   |
| 09/06 | 15:39 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10218   |           2713   |
| 09/06 | 15:46 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10396   |           2795   |
| 09/06 | 16:01 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 337080|      0|          10131   |           2726   |
| 09/06 | 16:02 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 337080|      0|          10484   |           2732   |
| 09/06 | 16:03 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 337080|      0|          10473   |           2703   |
| 09/06 | 16:04 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 337080|      0|          10658   |           2830   |
| 09/07 | 00:35 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|           9744   |           2666   |
| 09/07 | 08:52 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|           9838   |           2641   |
| 09/07 | 08:54 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|           9756   |           2617   |
| 09/07 | 08:55 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|           9876   |           2613   |
| 09/07 | 08:57 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|           9856   |           2611   |
| 09/07 | 08:58 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10008   |           2645   |
| 09/07 | 09:04 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|           9845   |           2635   |
| 09/07 | 09:13 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|           9974   |           2654   |
| 09/07 | 09:15 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10411   |           2635   |
| 09/07 | 16:12 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10027   |           2718   |
| 09/07 | 16:24 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10148   |           2739   |
| 09/07 | 16:27 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10046   |           2714   |
| 09/07 | 16:28 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336336|      0|          10734   |           2820   |
| 09/08 | 14:45 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336480|      0|           9824   |           2667   |
| 09/08 | 16:26 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336480|      0|           9948   |           2712   |
| 09/08 | 16:59 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336480|      0|          10131   |           2697   |
| 09/08 | 18:25 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336696|      0|          10188   |           2756   |
| 09/08 | 18:34 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336912|      0|           9974   |           2714   |
| 09/08 | 19:02 |    foreman_qcif.yuv|   10 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.121|41.062|42.687| 336936|      0|          10306   |           2848   |
| 09/09 | 09:51 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 301120|      0|          44799   |          16867   |
| 09/09 | 10:57 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 301120|      0|          46973   |          17357   |
| 09/18 | 13:29 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 301120|      0|          45025   |          16696   |
| 09/20 | 09:49 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 301120|      0|          47264   |          17569   |
| 09/20 | 10:34 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 301120|      0|          44640   |          16803   |
| 09/22 | 18:36 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 300792|      0|          44214   |          16591   |
| 09/28 | 16:31 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 300792|      0|          50848   |          18929   |
| 09/28 | 16:50 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 300800|      0|          52314   |          19595   |
| 09/28 | 16:52 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 300800|      0|          53035   |          19899   |
| 09/28 | 16:59 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 301096|      0|          50761   |          18966   |
| 10/08 | 15:00 |    foreman_qcif.yuv|   30 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.027|41.152|42.842| 301096|      0|          60302   |          23124   |
